Station,Date,Temp
Adams,2018-06-21,22.723
Adams,2018-06-22,23.358
Adams,2018-06-23,20.986
Adams,2018-06-24,20.524
Adams,2018-06-25,19.699
Adams,2018-06-26,22.146
Adams,2018-06-27,21.239
Adams,2018-06-28,21.367
Adams,2018-06-29,20.701
Adams,2018-06-30,18.613
Adams,2018-07-01,19.376
Adams,2018-07-02,19.079
Adams,2018-07-03,20.747
Adams,2018-07-04,19.622
Adams,2018-07-05,18.029
Adams,2018-07-06,18.883
Adams,2018-07-07,25.655
Adams,2018-07-08,22.953
Adams,2018-07-09,20.281
Williston,2020-09-05,21.69
Williston,2020-09-06,16.595
Williston,2020-09-07,5.917
Williston,2020-09-08,3.863
Williston,2020-09-09,8.996
Williston,2020-09-10,14.488
Williston,2020-09-11,15.689
Williston,2020-09-12,16.002
Williston,2020-09-13,11.219
Williston,2020-09-14,16.695
Williston,2020-09-15,12.77
Williston,2020-09-16,9.523
Williston,2020-09-17,13.186
Williston,2020-09-18,16.992
Williston,2020-09-19,16.85
Williston,2020-09-20,17.235
Williston,2020-09-21,17.595
Williston,2020-09-22,19.115
Williston,2020-09-23,16.43
Williston,2020-09-24,21.035
Williston,2020-09-25,17.01
Williston,2020-09-26,14.109
