,id,summary,description,rating,full_address,date,html_url,zipcode,coordinate
0,13718508,Park Lighting,Black light pole is loose and wobbles side to side.  Very dangerous.  The light is one of the walkway lights for the dirt path.  It is right in front of the snack shack in the Milpitas sports center.,2,"Milpitas CA, USA",2022-11-19,https://seeclickfix.com/issues/13718508,0,"{""lat"":37.4387707321218,""lon"":-121.883577365609}"
1,13718464,Graffiti Removal,"graffiti 16315 condit south and east sides of structure
  in fenced field opposite sports center/swim center boundary
The reward for good work is more work.
You just painted the west side wall.
Three new smaller tags on walls visible from Condit.",2,"16301-16483 Condit Rd Morgan Hill, CA, 95037, USA",2022-11-19,https://seeclickfix.com/issues/13718464,95037,"{""lat"":37.1242523729142,""lon"":-121.626974723278}"
2,13717668,Vandalism / Graffitti,"My vehicle was damaged by a premediated group in the parking lot. The group hid their identity using mask and lots of clothing. They also remove their front license plate and whiten their back license plate during the few minutes that they attempt to break into my vehicle. This incident happened around 7:50pm today (November 18, 2022)",3,"190 Ranch Dr Milpitas, California, 95035",2022-11-19,https://seeclickfix.com/issues/13717668,95035,"{""lat"":37.4283980213903,""lon"":-121.919815019667}"
3,13717642,FM - Indoor Construction,Padding coming off this basketball hoop in east side gym,2,"171 W Edmundson Ave Morgan Hill CA 95037, United States",2022-11-19,https://seeclickfix.com/issues/13717642,95037,"{""lat"":37.1132413,""lon"":-121.6457796}"
4,13717574,Traffic or Street Sign Issue,"Parents frequently are  ignore the sign for limited access   on the small access road off of Poppy to mostly pickup their kids  and drop off  from Day Care. There is an obvious sign that the driveway  which is also used for Garbage access  is only to be used for official purposes - not for child pickup/drop off.  My understanding is that Monte Sereno still gets ""a vote"" on traffic flow around the school. The school appears to be ignoring the restrictions set on the small access road and I feel this is a safety issue for walkers on the sidewalk as the visibility from an exiting car is probably limited and this is combined with parents that are anxious to get home.   If a sign is posted for official use only no parent pickup or drop off should be allowed or the Poppy traffic flow needs to be reconsidered. My sense is the school is looking the other way and doesnt want to be bothered enforcing the limited access  restrictions which are posted. The only possible solution maybe a limited access controlled gate as so many feel that the restrictions do not apply to themselves and only their own convenience matters - not safety. ",2,"17785 Vista Ave Monte Sereno, CA, 95030, USA",2022-11-19,https://seeclickfix.com/issues/13717574,95030,"{""lat"":37.2392884330469,""lon"":-121.981868465574}"
5,13717564,Sidewalk Repair,"Sidewalk tripping hazard. Looks like prior repair was attempted but still a problem. 
",2,"1571 Edsel Dr Milpitas CA 95035, United States",2022-11-19,https://seeclickfix.com/issues/13717564,95035,"{""lat"":37.4300771769271,""lon"":-121.875829581506}"
6,13717556,Sidewalk Issues,nan,1,"17509 Via Sereno Monte Sereno, CA, 95030, USA",2022-11-19,https://seeclickfix.com/issues/13717556,95030,"{""lat"":37.239117605075,""lon"":-121.977319439085}"
7,13717555,Sidewalk Issues,nan,1,"17509 Via Sereno Monte Sereno, CA, 95030, USA",2022-11-19,https://seeclickfix.com/issues/13717555,95030,"{""lat"":37.239117605075,""lon"":-121.977319439085}"
8,13717551,Sidewalk Issues,It appears the tree roots from that minipark that is across from the Pottery store on Winchester between Daves and Bruce has pushed up a  sidewalk on a seam an inch or two  when I walked the Dog yesterday - my understanding is that Monte Sereno Owns that small bit of land but Im not sure if the home owner or the city is responsible.  Ive seen worse but it needs fixing before someone trips one way or the other or some bright paint as an interim fix so no one gets hurt. ,1,"17509 Via Sereno Monte Sereno, CA, 95030, USA",2022-11-19,https://seeclickfix.com/issues/13717551,95030,"{""lat"":37.239117605075,""lon"":-121.977319439085}"
9,13716974,Odor: Report at https://permits.baaqmd.gov/PublicForms/ComplaintWizardSelection,The emissions smell like sewage. Smell was noticed around 1:30 p.m.,1,"40 N Milpitas Blvd Milpitas, California, 95035",2022-11-19,https://seeclickfix.com/issues/13716974,95035,"{""lat"":37.4334870100855,""lon"":-121.898456002538}"
10,13716971,Abandoned Vehicles,Vehicle has been parked in same spot for weeks now,2,"1778 Conway St Milpitas CA 95035, United States",2022-11-19,https://seeclickfix.com/issues/13716971,95035,"{""lat"":37.45864,""lon"":-121.903008}"
11,13716456,Water - Low Pressure / No Water,Water lid is broken. It needs to be fixed. It is broken since the water personnel changed new meter. Please fix the issue or send this issue to the correct department. Thank you,2,"161 S Park Victoria Dr Milpitas CA 95035, United States",2022-11-19,https://seeclickfix.com/issues/13716456,95035,"{""lat"":37.4330850324616,""lon"":-121.883853496314}"
12,13716352,Sidewalk Repair,"Hi team @ city of Milpitas , I wanted to reach out regarding the elevation of the side walk which prohibits car to be parked on the driveway. My tenants are having a hard time parking on the driveway as the car grinds on the sidewalk. I have to repair part of the driveway but my contractor said it’s the elevation that is steep. I have to talk to city first. Can you please look into it",2,"153 Falcato Dr Milpitas, California, 95035",2022-11-19,https://seeclickfix.com/issues/13716352,95035,"{""lat"":37.4360859868037,""lon"":-121.871627961226}"
13,13709684,Sewer Stoppage/Overflow,its been close to a month now that the sewer cleanout at this address is overflowing onto the sidewalk,2,"971 S Park Victoria Dr Milpitas, California, 95035",2022-11-19,https://seeclickfix.com/issues/13709684,95035,"{""lat"":37.4217904261834,""lon"":-121.876862263035}"
14,13703524,Shopping Carts,Found a shopping cart on the sidewalk across from 267/275 W Capitol Ave. please help to take care of it. ,1,"240-268 W Capitol Ave Milpitas, CA, 95035, USA",2022-11-19,https://seeclickfix.com/issues/13703524,95035,"{""lat"":37.4137209764704,""lon"":-121.907905468146}"
15,13703017,Vandalism / Graffitti,Graffiti on Utility box,2,"Westridge Dr Milpitas, California, 95035",2022-11-19,https://seeclickfix.com/issues/13703017,95035,"{""lat"":37.423705357736,""lon"":-121.869364972767}"
16,13702440,Weed/Brush Abatement and Landscape Maintenance,Hedges along street are not getting water and are dying/dead,2,"101-113 N Mccarthy Blvd Milpitas, CA, 95035, USA",2022-11-19,https://seeclickfix.com/issues/13702440,95035,"{""lat"":37.4272415653874,""lon"":-121.924379943778}"
17,13702351,"Street Signs, Striping, and Markings",New name plate for New PW Director Christian Di Renzo,2,"1265 N Milpitas Blvd Milpitas, California, 95035",2022-11-19,https://seeclickfix.com/issues/13702351,95035,"{""lat"":37.4483440172865,""lon"":-121.910944032441}"
